series,hidden,intermediate,num_experts,topk,tokens,variant,mode,execution,l2_flush,repetitions,p50_rank0_us_median_of_repetitions,p50_rank0_us_min_repetition,p50_rank0_us_max_repetition,max_rank_p50_us_median_of_repetitions,max_rank_p50_us_min_repetition,max_rank_p50_us_max_repetition
reference,7168,3072,384,6,64,bf16,compute,eager,True,3,376.6080141067505,376.2879967689514,376.73600018024445,376.6080141067505,376.2879967689514,376.8800050020218
reference,7168,3072,384,6,64,ikr,compute,eager,True,3,358.800008893013,358.5759997367859,359.1200113296509,358.800008893013,358.5759997367859,359.1200113296509
reference,7168,3072,384,6,512,bf16,compute,eager,True,3,448.7359970808029,448.35199415683746,448.7840086221695,448.7359970808029,448.35199415683746,448.7840086221695
reference,7168,3072,384,6,512,ikr,compute,eager,True,3,376.75198912620544,376.67199969291687,376.8959939479828,376.78399682044983,376.67199969291687,376.8959939479828
reference,7168,3072,384,6,1024,bf16,compute,eager,True,3,524.4320034980774,523.824006319046,524.4959890842438,524.4320034980774,523.824006319046,524.4959890842438
reference,7168,3072,384,6,1024,ikr,compute,eager,True,3,393.2800143957138,393.12000572681427,393.5839980840683,393.2800143957138,393.12000572681427,393.5839980840683
reference,7168,3072,384,6,2048,bf16,compute,eager,True,3,705.2159905433655,705.0719857215881,705.6799829006195,705.2159905433655,705.0719857215881,705.6799829006195
reference,7168,3072,384,6,2048,ikr,compute,eager,True,3,444.8799937963486,444.64001059532166,445.69599628448486,444.8799937963486,444.64001059532166,445.69599628448486
reference,7168,3072,384,6,4096,bf16,compute,eager,True,3,1083.840012550354,1083.2480192184448,1084.015965461731,1083.8720202445984,1083.3119750022888,1084.015965461731
reference,7168,3072,384,6,4096,ikr,compute,eager,True,3,582.175999879837,582.0640027523041,583.1680297851562,582.175999879837,582.0640027523041,583.1680297851562
reference,7168,3072,384,6,8192,bf16,compute,eager,True,3,1848.912000656128,1848.0480313301086,1849.8560190200806,1848.912000656128,1848.639965057373,1849.8560190200806
reference,7168,3072,384,6,8192,ikr,compute,eager,True,3,855.7920157909393,855.3760051727295,856.9599986076355,856.5439879894257,855.3760051727295,857.0400178432465
