run,seed,M,K,global_scale,baseline,baseline_us,triton_us,speedup
reverse.jsonl,109,4,7168,32.0,cute_default,1.959040015935898,1.8771199882030487,1.0436413379260165
reverse.jsonl,109,4,7168,32.0,cute_no_pdl,2.1638399362564087,1.8771199882030487,1.152744603357953
reverse.jsonl,109,7,4096,1.0,cute_default,2.0000000298023224,1.6723200678825378,1.195943329397875
reverse.jsonl,109,7,4096,1.0,cute_no_pdl,2.1638399362564087,1.6723200678825378,1.2939149495444522
reverse.jsonl,109,7,4096,32.0,cute_default,1.9977600127458572,1.6361600160598755,1.2210052764623658
reverse.jsonl,109,7,4096,32.0,cute_no_pdl,2.1638399362564087,1.6361600160598755,1.3225111939034346
reverse.jsonl,109,8,4096,1.0,cute_default,2.0000000298023224,1.6723200678825378,1.195943329397875
reverse.jsonl,109,8,4096,1.0,cute_no_pdl,2.1638399362564087,1.6723200678825378,1.2939149495444522
reverse.jsonl,109,8,4096,32.0,cute_default,2.0000000298023224,1.6630399972200394,1.2026169142928311
reverse.jsonl,109,8,4096,32.0,cute_no_pdl,2.1638399362564087,1.6630399972200394,1.3011352341937135
reverse.jsonl,109,16,7168,1.0,cute_default,2.1638399362564087,1.959040015935898,1.1045409581501944
reverse.jsonl,109,16,7168,1.0,cute_no_pdl,2.2867199778556824,1.959040015935898,1.1672655786784636
reverse.jsonl,109,16,7168,32.0,cute_default,2.1113599836826324,1.959040015935898,1.0777523514107321
reverse.jsonl,109,16,7168,32.0,cute_no_pdl,2.245759963989258,1.959040015935898,1.1463573718357072
reverse.jsonl,109,24,4096,1.0,cute_default,2.0819200575351715,1.6723200678825378,1.2449291840235237
reverse.jsonl,109,24,4096,1.0,cute_no_pdl,2.245759963989258,1.6723200678825378,1.342900804170101
reverse.jsonl,109,24,4096,32.0,cute_default,2.0819200575351715,1.7132799327373505,1.2151663121442364
reverse.jsonl,109,24,4096,32.0,cute_no_pdl,2.245759963989258,1.7132799327373505,1.3107956972338728
reverse.jsonl,109,128,4096,1.0,cute_default,2.2047999501228333,2.040960043668747,1.0802759010213518
reverse.jsonl,109,128,4096,1.0,cute_no_pdl,2.3686400055885315,2.040960043668747,1.160551875053252
reverse.jsonl,109,128,4096,32.0,cute_default,2.2047999501228333,2.040960043668747,1.0802759010213518
reverse.jsonl,109,128,4096,32.0,cute_no_pdl,2.409600019454956,2.040960043668747,1.1806208685612272
reverse.jsonl,109,256,7168,1.0,cute_default,3.0239999294281006,2.778240144252777,1.088458798525288
